boat_speed,wind_speed,cos_attack_angle,sin_attack_angle,cos_target_angle,sin_target_angle,cos_boat_angle
2.46793,2.3943,0.9945218953682733,0.10452846326765347,-0.17364817766693033,-0.984807753012208,-0.7547095802227721
2.4716400000000003,2.3979,0.9945218953682733,0.10452846326765347,-0.17364817766693033,-0.984807753012208,-0.8090169943749476
2.49344,2.41905,0.9945218953682733,0.10452846326765347,-0.1908089953765446,-0.981627183447664,-0.8571673007021123
2.60795,2.49032,0.9998476951563913,-0.01745240643728356,-0.17364817766693033,-0.984807753012208,-0.8290375725550418
2.7488900000000003,2.6249,0.9998476951563913,-0.01745240643728356,-0.17364817766693033,-0.984807753012208,-0.8660254037844386
2.92165,2.78987,0.9998476951563913,-0.01745240643728356,-0.13917310096006583,-0.9902680687415703,-0.8987940462991669
2.91376,2.7743700000000002,0.9986295347545738,-0.05233595624294437,-0.12186934340514717,-0.9925461516413221,-0.8910065241883679
3.11201,2.96313,0.9986295347545738,-0.05233595624294437,-0.10452846326765336,-0.9945218953682734,-0.9135454576426009
3.5386599999999997,3.3693699999999995,0.9986295347545738,-0.05233595624294437,-0.08715574274765825,-0.9961946980917455,-0.9563047559630354
3.72914,3.58259,0.9781476007338056,-0.20791169081775987,-0.08715574274765825,-0.9961946980917455,-0.9205048534524404
3.96139,3.80571,0.9781476007338056,-0.20791169081775987,-0.06975647374412558,-0.9975640502598242,-0.9396926207859084
4.19391,4.0376699999999985,0.9781476007338056,-0.20791169081775987,-0.052335956242944306,-0.9986295347545738,-0.9563047559630354
4.15433,4.03673,0.9510565162951535,-0.3090169943749476,-0.03489949670250076,-0.9993908270190958,-0.9271838545667874
4.55966,4.52955,0.9510565162951535,-0.3090169943749476,-0.017452406437283498,-0.9998476951563913,-0.9563047559630354
4.73554,4.78907,0.8660254037844384,-0.5000000000000004,-0.017452406437283498,-0.9998476951563913,-0.8910065241883679
4.95751,5.05411,0.8660254037844384,-0.5000000000000004,-1.8369701987210297e-16,-1.0,-0.9135454576426009
